name,year,age,team,pos,uniform_number,g,gs,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,av,awards
Chase McLaughlin,2023,27,TAM,K,4,17,0,,,8,8,12,12,3,2,8,7,31,29,57,93.5%,33,33,100.0%,4,255,3,75.0%,63.8,4
Chase McLaughlin,2024,28,TAM,K,4,2,0,,,1,1,2,2,,,2,2,5,5,56,100.0%,6,6,100.0%,,,,,,
Brandon McManus,2019,28,DEN,K,8,16,0,,,6,6,9,9,12,10,7,4,34,29,53,85.3%,26,25,96.2%,72,4634,55,76.4%,64.4,5
Brandon McManus,2020,29,DEN,K,8,15,0,,,6,6,5,4,8,8,15,10,34,28,58,82.4%,27,24,88.9%,73,4516,54,74.0%,61.9,4
Brandon McManus,2021,30,DEN,K,8,17,0,,,8,7,6,6,8,8,9,5,31,26,61,83.9%,34,33,97.1%,78,4975,62,79.5%,63.8,4
Brandon McManus,2022,31,DEN,K,8,17,0,,,7,6,6,4,10,10,13,8,36,28,55,77.8%,27,25,92.6%,73,4580,51,69.9%,62.7,2
Brandon McManus,2023,32,JAX,K,10,17,0,,,4,4,10,10,13,11,10,5,37,30,56,81.1%,35,35,100.0%,86,5421,65,75.6%,63.0,3
Evan McPherson,2021,22,CIN,K,2,16,0,,,5,5,8,8,9,6,11,9,33,28,58,84.8%,48,46,95.8%,91,5814,55,60.4%,63.9,4
Evan McPherson,2022,23,CIN,K,2,16,0,1,1,6,5,4,4,13,9,5,5,29,24,59,82.8%,44,40,90.9%,90,5604,51,56.7%,62.3,3
Evan McPherson,2023,24,CIN,K,2,17,0,,,5,5,6,6,8,8,12,7,31,26,56,83.9%,40,40,100.0%,82,5162,63,76.8%,63.0,4
Evan McPherson,2024,25,CIN,K,2,2,0,,,1,1,1,1,1,1,2,2,5,5,53,100.0%,3,2,66.7%,10,647,9,90.0%,64.7,
Jake Moody,2023,24,SFO,K,4,17,0,,,7,7,9,8,6,4,3,2,25,21,57,84.0%,61,60,98.4%,90,5680,54,60.0%,63.1,3
Jake Moody,2024,25,SFO,K,4,2,0,,,1,1,2,2,2,2,2,2,7,7,53,100.0%,4,4,100.0%,12,780,9,75.0%,65.0,
Jason Myers,2019,28,SEA,K,5,16,0,,,6,6,11,11,7,4,4,2,28,23,54,82.1%,44,40,90.9%,85,5337,59,69.4%,62.8,3,
Jason Myers,2020,29,SEA,K,5,16,0,,,2,2,7,7,13,13,2,2,24,24,61,100.0%,53,49,92.5%,91,5792,52,57.1%,63.6,5,
Jason Myers,2021,30,SEA,K,5,17,0,,,2,2,11,9,5,3,5,3,23,17,53,73.9%,47,44,93.6%,83,5078,31,37.3%,61.2,2,
Jason Myers,2022,31,SEA,K,5,17,0,,,9,9,16,15,6,4,6,6,37,34,56,91.9%,42,41,97.6%,93,5839,54,58.1%,62.8,4,PB
Jason Myers,2023,32,SEA,K,5,17,0,,,8,8,12,11,14,12,8,4,42,35,55,83.3%,33,33,100.0%,86,5430,55,64.0%,63.1,3,
Jason Myers,2024,33,SEA,K,5,2,0,,,1,1,2,2,1,1,1,1,5,5,50,100.0%,4,4,100.0%,13,849,10,76.9%,65.3,,
Brayden Narveson,2024,25,GNB,K,44,2,0,,,2,2,2,2,4,2,,,8,6,46,75.0%,3,3,100.0%,12,782,10,83.3%,65.2,
Riley Patterson,2021,22,DET,K,6,7,0,,,3,3,6,6,4,4,1,,14,13,49,92.9%,16,16,100.0%,2,14,,,7.0,2
Riley Patterson,2022,23,JAX,K,10,17,0,,,8,8,11,10,13,10,3,2,35,30,53,85.7%,37,36,97.3%,88,5492,44,50.0%,62.4,3
Riley Patterson,2023,24,2TM,K,,15,0,,,3,2,11,11,2,2,2,1,18,16,52,88.9%,44,41,93.2%,16,969,6,37.5%,60.6,2
Eddy Pineiro,2019,24,CHI,K,15,16,0,1,1,8,8,10,9,7,3,2,2,28,23,53,82.1%,29,27,93.1%,52,3141,26,50.0%,60.4,2
Eddy Pineiro,2021,26,NYJ,K,15,5,0,,,2,2,2,2,3,3,1,1,8,8,51,100.0%,10,9,90.0%,,,,,,2
Eddy Pineiro,2022,27,CAR,K,4,17,0,,,2,2,17,16,14,13,2,2,35,33,54,94.3%,32,30,93.8%,83,5146,46,55.4%,62.0,5
Eddy Pineiro,2023,28,CAR,K,4,15,0,,,6,6,7,7,9,7,7,5,29,25,56,86.2%,20,17,85.0%,57,3532,36,63.2%,62.0,3
Eddy Pineiro,2024,29,CAR,K,4,2,0,,,,,1,1,1,1,,,2,2,43,100.0%,1,1,100.0%,4,250,1,25.0%,62.5,
Matt Prater,2019,35,DET,K,5,16,0,,,11,11,3,2,9,6,8,7,31,26,56,83.9%,36,35,97.2%,19,1159,8,42.1%,61.0,4,
Matt Prater,2020,36,DET,K,5,16,0,,,4,4,7,7,7,4,10,6,28,21,59,75.0%,41,38,92.7%,18,1065,7,38.9%,59.2,2,
Matt Prater,2021,37,ARI,K,5,17,0,,,11,11,11,9,5,3,10,7,37,30,62,81.1%,49,47,95.9%,97,6013,73,75.3%,62.0,2,
Matt Prater,2022,38,ARI,K,5,13,0,,,1,1,10,10,8,6,6,5,25,22,57,88.0%,18,17,94.4%,49,3098,34,69.4%,63.2,3,
Matt Prater,2023,39,ARI,K,5,17,0,,,6,6,8,7,7,6,12,9,33,28,62,84.8%,23,22,95.7%,79,4842,66,83.5%,61.3,4,
Matt Prater,2024,40,ARI,K,5,2,0,,,1,1,1,1,1,1,1,1,4,4,57,100.0%,7,7,100.0%,14,858,11,78.6%,61.3,,
Will Reichard,2024,23,MIN,K,16,2,0,,,2,2,1,1,,,,,3,3,39,100.0%,6,6,100.0%,10,645,8,80.0%,64.5,
Chad Ryland,2023,24,NWE,K,37,17,0,,,4,4,7,5,10,5,4,2,25,16,56,64.0%,25,24,96.0%,60,3814,39,65.0%,63.6,0
Jason Sanders,2019,24,MIA,K,7,16,0,,,7,7,9,8,9,5,5,3,30,23,54,76.7%,30,29,96.7%,71,4314,49,69.0%,60.8,2,
Jason Sanders,2020,25,MIA,K,7,16,0,1,1,8,8,7,7,14,12,9,8,39,36,56,92.3%,36,36,100.0%,91,5540,64,70.3%,60.9,6,AP1
Jason Sanders,2021,26,MIA,K,7,17,0,,,6,6,9,7,10,8,6,2,31,23,51,74.2%,35,34,97.1%,78,4969,56,71.8%,63.7,2,
Jason Sanders,2022,27,MIA,K,7,17,0,,,6,5,7,7,13,12,6,2,32,26,55,81.3%,44,41,93.2%,88,5486,61,69.3%,62.3,3,
Jason Sanders,2023,28,MIA,K,7,17,0,,,6,6,7,7,8,6,7,5,28,24,57,85.7%,59,58,98.3%,90,5803,76,84.4%,64.5,4,
Jason Sanders,2024,29,MIA,K,7,2,0,,,,,2,2,1,,1,1,4,3,52,75.0%,3,3,100.0%,7,450,4,57.1%,64.3,,
Cairo Santos,2019,28,TEN,K,7,5,0,,,,,3,1,3,2,3,1,9,4,53,44.4%,12,12,100.0%,21,1339,12,57.1%,63.8,0
Cairo Santos,2020,29,CHI,K,2,16,0,,,9,9,10,10,10,9,3,2,32,30,55,93.8%,37,36,97.3%,86,5252,42,48.8%,61.1,5
Cairo Santos,2021,30,CHI,K,2,17,0,,,10,10,5,5,13,11,2,,30,26,47,86.7%,28,27,96.4%,71,4443,34,47.9%,62.6,3
Cairo Santos,2022,31,CHI,K,2,16,0,,,4,4,7,7,7,6,5,4,23,21,51,91.3%,32,27,84.4%,49,3076,28,57.1%,62.8,3
Cairo Santos,2023,32,CHI,K,8,17,0,,,9,9,11,11,10,8,8,7,38,35,55,92.1%,33,31,93.9%,76,4830,60,78.9%,63.6,4
Cairo Santos,2024,33,CHI,K,8,2,0,,,1,1,,,1,1,3,3,5,5,54,100.0%,2,2,100.0%,10,644,2,20.0%,64.4,
